勤務表
勤務時間合計：268:40時間
支給金額：308,971円
--詳細--
日付, 開始時刻, 終了時刻, 勤務時間
2026-07-01, 09:00, 18:00, 09:00
2026-07-02, 09:15, 18:05, 08:50
2026-07-03, 08:55, 17:45, 08:50
2026-07-04, 09:00, 18:30, 09:30
2026-07-05, 09:10, 18:00, 08:50
2026-07-06, 09:00, 17:50, 08:50
2026-07-07, 09:20, 18:10, 08:50
2026-07-08, 08:50, 17:40, 08:50
2026-07-09, 09:00, 18:00, 09:00
2026-07-10, 09:05, 18:15, 09:10
2026-07-11, 09:00, 18:00, 09:00
2026-07-12, 09:00, 17:55, 08:55
2026-07-13, 09:30, 18:20, 08:50
2026-07-14, 09:00, 18:00, 09:00
2026-07-15, 08:45, 17:40, 08:55
2026-07-16, 09:00, 18:10, 09:10
2026-07-17, 09:10, 18:00, 08:50
2026-07-18, 09:00, 17:50, 08:50
2026-07-19, 09:00, 18:00, 09:00
2026-07-20, 09:05, 18:05, 09:00
2026-07-21, 09:00, 18:00, 09:00
2026-07-22, 09:15, 18:10, 08:55
2026-07-23, 08:55, 17:45, 08:50
2026-07-24, 09:00, 18:00, 09:00
2026-07-25, 09:10, 18:20, 09:10
2026-07-26, 09:00, 17:50, 08:50
2026-07-27, 09:00, 18:00, 09:00
2026-07-28, 09:20, 18:15, 08:55
2026-07-29, 08:50, 17:40, 08:50
2026-07-30, 09:00, 18:00, 09:00
